Sección 2.3.1 -> Semilla 2

learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1100000.0,5.652683,2.4830247916508877E-6,1100000.0,79.30181818181819,58.52428630166451,58.560011357410815,56.89886908750849,1100000.0,3109872.0,1573.0,787.0,787.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1200000.0,6.13647,2.899992661647912E-6,1200000.0,79.065,58.03884577567167,58.08256343428646,56.390867808190634,1200000.0,3331584.0,1687.0,844.0,844.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1300000.0,6.630778,3.3570986257638365E-6,1300000.0,78.55623076923078,57.00816075286741,57.063315548874414,55.338578589932766,1300000.0,3574552.0,1803.0,902.0,902.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1400000.0,7.137611,3.862563990137229E-6,1400000.0,78.51685714285715,56.926968162355415,56.999129299708194,55.24771450338063,1400000.0,3855040.0,1953.0,977.0,977.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1500000.0,7.65066,4.410680489260703E-6,1500000.0,78.37906666666666,56.644490343437795,56.7100526317897,54.96139317853571,1500000.0,4129680.0,2083.0,1042.0,1042.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1600000.0,8.168434,4.994523441450049E-6,1600000.0,78.179625,56.23409782027282,56.29757495265192,54.52827411769149,1600000.0,4358712.0,2211.0,1106.0,1106.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1700000.0,8.680902,5.605353357922285E-6,1700000.0,78.1484705882353,56.173794235775134,56.237320961969374,54.45851165949684,1700000.0,4607400.0,2331.0,1166.0,1166.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1800000.0,9.201951,6.255781667729218E-6,1800000.0,77.8921111111111,55.65427189668869,55.72440096841954,53.90204262249885,1800000.0,4825288.0,2439.0,1220.0,1220.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1900000.0,9.725062,6.935160183798935E-6,1900000.0,77.6741052631579,55.21786877519755,55.28801407368448,53.443000074633105,1900000.0,5020192.0,2549.0,1275.0,1275.0,17.0,3806.2346368715084,0.0,1.0336349065631807
2000000.0,10.385397,7.834205231231947E-6,2000000.0,77.45455,54.775772347188635,54.852665832290356,52.981040548741696,2000000.0,5262832.0,2661.0,1331.0,1331.0,17.0,3826.031555221638,0.0,1.0334581717869284
Sección 2.3.1 -> Semilla 3

learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,0.743827,6.41495298118227E-8,100000.0,89.717,79.4350879496552,79.32566649242028,78.58778943861402,100000.0,333368.0,169.0,85.0,85.0,12.0,0.0,0.0,1.0
200000.0,1.258892,1.5465135668921802E-7,200000.0,86.25500000000001,72.51064541980726,72.45408178602564,71.4089590115342,200000.0,679200.0,345.0,173.0,173.0,12.0,0.0,0.0,1.0
300000.0,1.719855,2.7153495751114355E-7,300000.0,85.68666666666667,71.41289096145691,71.3590128397532,70.2274886117024,300000.0,980144.0,499.0,250.0,250.0,14.0,0.0,0.0,1.0
400000.0,2.15361,4.0883665695579515E-7,400000.0,84.75399999999999,69.53684750873573,69.47732471133489,68.27649347676812,400000.0,1223584.0,619.0,310.0,310.0,14.0,0.0,0.0,1.0
500000.0,2.610755,5.85822599021097E-7,500000.0,82.9476,65.88678301946264,65.87841217879196,64.4945822818546,500000.0,1496536.0,761.0,381.0,381.0,15.0,0.0,0.0,1.0
